timestamp,param_id,hidden_layers,dropout_rate,learning_rate,batch_size,pos_weight,threshold,precision,recall,f1,training_time,early_stopped,convergence_epoch
20241127_130932,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[256, 512, 128, 64]",0.6,0.01,20000,15.0,0.42,0.2505243088655863,0.9726128793486306,0.3984232868405093,170.27862167358398,False,
20241126_161238,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.4,"[1024, 2048, 512, 128]",0.5,0.01,15000,15.0,0.4,0.2514843899636085,0.9718726868985936,0.3995739500912964,178.96989345550537,False,
20241126_202612,hl4_dr0.7_lr0.01_bs10000_pw15.0_th0.4,"[256, 2048, 512, 128]",0.7,0.01,10000,15.0,0.4,0.2523059185242121,0.9718726868985936,0.4006102212051868,153.8700156211853,False,
20241127_090453,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.42,"[512, 2048, 512, 64]",0.5,0.01,15000,15.0,0.42,0.2517254601226993,0.9718726868985936,0.3998781787726511,163.07184386253357,False,
20241126_183713,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[256, 512, 128, 64]",0.6,0.01,20000,15.0,0.4,0.2515807625981989,0.9718726868985936,0.3996955859969558,164.51784086227417,False,
20241127_083051,hl4_dr0.7_lr0.01_bs15000_pw15.0_th0.42,"[512, 2028, 512, 128]",0.7,0.01,15000,15.0,0.42,0.2509077011274603,0.9718726868985936,0.3988456865127582,181.07962918281555,False,
20241127_015946,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.4,"[2048, 1024, 512, 64]",0.5,0.01,15000,15.0,0.4,0.2510036321926974,0.9718726868985936,0.3989668793679732,168.10494542121887,False,
20241126_203719,hl4_dr0.7_lr0.01_bs15000_pw15.0_th0.4,"[256, 2048, 512, 128]",0.7,0.01,15000,15.0,0.4,0.2508597630875048,0.9718726868985936,0.3987851176917236,164.65851211547852,False,
20241126_165926,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[1024, 2048, 512, 128]",0.6,0.01,20000,15.0,0.4,0.2503813882532418,0.9718726868985936,0.3981804397270659,193.9727416038513,False,
20241127_200546,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.42,"[512, 256, 128, 64]",0.7,0.01,20000,15.0,0.42,0.250668193967163,0.9718726868985936,0.398543026255881,165.00112342834473,False,
